Time,rnti,SFN,elapsed,CFI,RBmeanllr,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1698072540141,1571,7740,0.46,2,1.51,0.0,52.0,15.0,1,30,-2,1000,-2,8,4
1698072540143,1571,7742,0.16,3,1.61,0.0,52.0,15.0,1,30,-2,1000,-2,3,4
1698072540146,65535,7745,0.19,3,1.45,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540146,1571,7745,0.19,3,1.16,0.0,52.0,15.0,1,30,-2,1000,-2,3,4
1698072540147,1571,7746,0.57,3,1.55,0.0,52.0,15.0,1,11,-2,872,-2,5,4
1698072540150,1571,7749,0.6,3,1.47,0.0,52.0,15.0,1,12,-2,776,-2,4,4
1698072540151,1571,7750,0.75,3,2.03,6.0,52.0,15.0,1,1,-2,144,-2,3,4
1698072540155,1571,7754,0.66,3,1.45,0.0,52.0,15.0,1,15,-2,840,-2,3,4
1698072540158,1571,7757,0.7,2,1.82,6.0,52.0,15.0,1,18,-2,3496,-2,6,4
1698072540159,1571,7758,0.35,2,1.88,6.0,52.0,15.0,1,13,-2,1160,-2,3,4
1698072540159,1571,7758,0.35,2,1.63,0.0,52.0,15.0,1,11,-2,872,-2,5,4
1698072540160,1571,7759,0.62,2,1.53,0.0,52.0,15.0,1,13,-2,904,-2,4,4
1698072540161,65535,7760,0.59,3,1.54,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072540165,1571,7764,0.58,2,1.01,0.0,52.0,15.0,1,14,-2,744,-2,3,4
1698072540166,65535,7765,0.45,2,1.44,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072540170,1571,7769,0.62,2,1.84,0.0,52.0,15.0,1,15,-2,840,-2,3,4
1698072540175,1571,7774,0.58,3,1.77,0.0,52.0,15.0,1,14,-2,744,-2,3,4
1698072540181,1571,7780,0.41,2,1.76,0.0,52.0,15.0,1,12,-2,776,-2,4,4
1698072540185,1571,7784,0.31,2,1.07,0.0,52.0,15.0,1,13,-2,904,-2,4,4
1698072540186,65535,7785,0.52,2,1.47,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540190,1571,7789,0.32,2,1.4,0.0,52.0,15.0,1,18,-2,1064,-2,3,4
1698072540195,1571,7794,0.7,3,1.83,0.0,52.0,15.0,1,18,-2,1064,-2,3,4
1698072540200,1571,7799,0.2,3,1.79,0.0,52.0,15.0,1,14,-2,744,-2,3,4
1698072540205,1571,7804,0.24,3,1.75,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072540206,65535,7805,0.48,2,1.47,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540210,65534,7809,0.29,2,1.43,2.0,0.0,0.0,1,1,-2,56,-2,6,2
1698072540210,1571,7809,0.29,2,1.89,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072540215,1571,7814,0.22,3,1.75,0.0,52.0,15.0,1,17,-2,968,-2,3,4
1698072540220,1571,7819,0.24,3,1.36,0.0,52.0,15.0,1,14,-2,744,-2,3,4
1698072540226,65535,7825,0.21,3,1.39,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540230,65534,7829,0.33,2,1.46,2.0,0.0,0.0,1,5,-2,144,-2,12,2
1698072540241,65535,7840,0.43,3,1.5,2.0,0.0,0.0,1,11,-2,376,-2,33,3
1698072540246,65535,7845,0.7,2,1.36,2.0,0.0,0.0,1,6,-2,176,-2,6,3
1698072540250,65534,7849,0.59,2,1.46,2.0,0.0,0.0,1,3,-2,104,-2,9,2
1698072540266,65535,7865,0.67,3,1.32,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540270,65534,7869,0.61,2,1.36,2.0,0.0,0.0,1,3,-2,104,-2,9,2
1698072540286,65535,7885,0.16,2,1.49,2.0,0.0,0.0,1,6,-2,176,-2,3,3
1698072540290,65534,7889,0.44,2,1.34,2.0,0.0,0.0,1,1,-2,56,-2,6,2
