Time,rnti,SFN,format,preamble,ta,nb_TB,MCSi_1,MCSi_2,TBS_1,TBS_2,nb_PRB,connection_id
1666257034114,54519,6712,0.0,48.0,8.0,1,15,-2,1416,-2,5,8
1666257034117,54519,6715,0.0,48.0,8.0,1,29,-2,1416,-2,2,8
1666257034123,65535,6721,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257034127,65535,6725,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034128,54519,6726,0.0,48.0,8.0,1,24,-2,2152,-2,4,8
1666257034131,65534,6729,2.0,0.0,0.0,1,3,-2,104,-2,5,2
1666257034131,54519,6729,6.0,48.0,8.0,1,14,-2,29296,-2,67,8
1666257034132,54519,6730,6.0,48.0,8.0,1,14,-2,32856,-2,75,8
1666257034133,54519,6731,6.0,48.0,8.0,1,8,-2,4136,-2,16,8
1666257034134,54519,6732,6.0,48.0,8.0,1,9,-2,13536,-2,48,8
1666257034134,65535,6732,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257034136,54519,6734,0.0,48.0,8.0,1,30,-2,2152,-2,4,8
1666257034138,54519,6736,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257034139,54519,6737,0.0,48.0,8.0,1,29,-2,0,-2,2,8
1666257034142,65535,6740,2.0,0.0,0.0,1,1,-2,88,-2,2,3
1666257034147,65535,6745,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034148,54519,6746,0.0,48.0,8.0,1,15,-2,1128,-2,4,8
1666257034155,54519,6753,0.0,48.0,8.0,1,24,-2,1064,-2,2,8
1666257034158,54519,6756,6.0,48.0,8.0,1,9,-2,4584,-2,16,8
1666257034162,65535,6760,2.0,0.0,0.0,1,1,-2,56,-2,2,3
1666257034163,54519,6761,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257034167,65535,6765,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034168,54519,6766,0.0,48.0,8.0,1,15,-2,1128,-2,4,8
1666257034174,54519,6772,6.0,48.0,8.0,1,5,-2,1384,-2,8,8
1666257034182,65535,6780,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034187,65535,6785,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034188,54519,6786,0.0,48.0,8.0,1,13,-2,904,-2,4,8
1666257034188,54519,6786,6.0,48.0,8.0,1,0,-2,88,-2,4,8
1666257034195,54519,6793,6.0,48.0,8.0,1,5,-2,1384,-2,8,8
1666257034202,65535,6800,2.0,0.0,0.0,1,4,-2,120,-2,3,3
1666257034207,65535,6805,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034211,65534,6809,2.0,0.0,0.0,1,5,-2,144,-2,6,2
1666257034227,65535,6825,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034228,54519,6826,0.0,48.0,8.0,1,15,-2,1128,-2,4,8
1666257034242,18863,6840,0.0,27.0,2.0,1,29,-2,0,-2,1,4
1666257034247,31355,6845,0.0,29.0,3.0,1,29,-2,0,-2,2,6
1666257034247,65535,6845,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034252,19379,6850,0.0,25.0,4.0,1,29,-2,0,-2,1,5
1666257034267,65535,6865,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034283,65535,6881,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257034287,65535,6885,2.0,0.0,0.0,1,6,-2,176,-2,4,3
1666257034287,31355,6885,0.0,29.0,3.0,1,29,-2,0,-2,2,6
1666257034294,65535,6892,2.0,0.0,0.0,1,10,-2,328,-2,6,3
1666257034302,65535,6900,2.0,0.0,0.0,1,1,-2,88,-2,2,3
